序,代码,名称,最新,涨幅%,DDX,DDY,DDZ,5日DDX,5日DDY,10日DDX,10日DDY,连续,5日内,10日内,特大买入%,特大卖出%,特大单净比%,大单买入%,大单卖出%,大单净比%
409,300977, 深圳瑞捷,19.17,2.73,0.524,0.974,16.7,0.864,2.458,0.374,2.654,2,3.0,4,6.43,0.0,6.43,21.5,17.27,4.23
411,603375, 盛景微,38.69,1.52,0.344,0.524,16.59,0.221,-0.491,-0.574,-0.189,1,4.0,5,8.95,10.65,-1.7,27.69,16.35,11.33
412,603095, 越剑智能,24.28,0.37,0.253,0.138,16.58,-0.262,-1.599,0.713,-1.41,1,2.0,4,3.4,9.42,-6.02,34.87,15.57,19.3
413,2405, 四维图新,10.21,2.0,0.176,0.957,16.56,0.012,-0.922,-0.168,-3.014,1,4.0,6,11.68,10.14,1.54,26.02,23.51,2.5
415,603213, 镇洋发展,9.41,-0.32,0.046,0.244,16.48,0.085,-0.656,-0.014,-0.724,2,3.0,4,10.05,9.71,0.33,15.21,9.27,5.94
416,2014, 永新股份,10.24,-0.68,0.031,0.226,16.47,0.138,0.281,0.243,1.185,4,4.0,9,0.0,0.0,0.0,17.05,10.0,7.05
417,605177, 东亚药业,19.56,0.41,0.0,0.323,16.44,-0.043,-0.273,-0.228,-0.252,2,2.0,6,9.52,10.22,-0.7,19.98,19.26,0.72
418,600807, 济高发展,3.21,0.31,0.126,2.986,16.39,2.173,2.129,0.65,-6.053,1,3.0,5,3.17,4.75,-1.58,17.7,13.98,3.73
419,404, 长虹华意,7.29,0.55,0.2,0.173,16.38,0.241,0.45,-0.21,3.539,1,3.0,5,6.01,3.93,2.07,27.53,17.33,10.21
420,300188, 国投智能,16.46,2.24,0.547,1.073,16.35,0.377,0.244,-1.3,-4.326,1,3.0,4,11.26,5.58,5.68,26.05,23.38,2.67
421,652, 泰达股份,3.98,-0.25,0.059,0.167,16.35,0.134,0.762,0.113,1.56,1,3.0,6,14.39,0.0,14.39,15.43,21.84,-6.41
422,300145, 中金环境,4.41,2.8,0.674,1.436,16.33,-0.394,-2.789,-1.917,-5.192,1,2.0,5,10.79,6.48,4.32,30.19,27.27,2.92
424,601860, 紫金银行,2.7,-0.74,-0.012,0.135,16.29,0.036,0.794,0.224,0.645,0,1.0,3,13.36,27.77,-14.41,35.92,23.05,12.87
425,688273, 麦澜德,24.81,0.61,0.191,0.465,16.29,-0.094,0.361,-0.396,0.764,1,2.0,3,2.84,0.0,2.84,21.34,14.1,7.24
426,1259, 利仁科技,22.97,-0.04,0.39,0.908,16.21,-0.731,-1.456,-1.632,-1.567,1,1.0,1,7.82,0.44,7.37,11.65,7.57,4.08
428,300900, 广联航空,21.69,0.7,0.224,0.552,16.07,-0.658,-2.099,-0.662,-2.417,2,2.0,4,11.59,2.75,8.85,29.94,32.54,-2.6
429,2201, 九鼎新材,5.51,-1.43,0.109,0.445,16.07,0.162,0.954,-0.183,-0.181,3,3.0,4,2.96,0.0,2.96,18.06,12.61,5.44
432,688620, 安凯微,16.85,2.49,0.669,1.342,15.94,0.042,2.23,-11.301,-17.213,1,4.0,4,15.34,8.12,7.22,27.8,28.13,-0.33
433,955, 欣龙控股,4.24,0.0,0.172,0.403,15.94,0.188,0.479,-1.289,-1.781,1,3.0,3,0.92,5.91,-5.0,23.75,8.8,14.94
434,2494, 华斯股份,4.23,-1.17,0.134,1.04,15.93,0.191,0.177,-0.941,-1.915,3,3.0,4,3.23,3.36,-0.14,18.75,13.49,5.26
